,dataset,solver,scheduler,cacher_quantizer,SEC_PER_IMG,TFLOPS,bits_per_weight,FID,IS,CLIP,nfe
0,COCO,DEIS3,SNR,NONE,6.559675983339548,299.01864073734,,20.88755226135254,39.08448028564453,33.779144287109375,25
1,COCO,DEIS3,KARRAS,NONE,6.8995912148617204,299.01864073734,,21.06633186340332,38.92089080810547,33.76981735229492,25
2,COCO,DEIS3,AYS,NONE,6.67107857177034,299.01864073734,,20.787446975708008,38.694480895996094,33.801025390625,25
3,COCO,DEIS3,LINEAR,NONE,6.810529080145061,299.01864073734,,22.460233688354492,36.732383728027344,34.068729400634766,25
4,COCO,DDIMHF,DDIM,NONE,13.384158065989613,597.92729017832,,20.75118637084961,39.18177795410156,33.71723175048828,50
5,COCO,DDIMHF,DDIM,NONE,6.599534732922912,299.018637721045,,20.579984664916992,38.05230712890625,33.59207534790039,25
6,COCO,DEIS3,LINEAR,NONE,4.453206774741411,203.367870901876,,23.965015411376953,34.55414962768555,34.145050048828125,17
7,COCO,DEIS3,SNR,NONE,4.431004365459085,203.367870901876,,20.31795883178711,39.035457611083984,33.690982818603516,17
8,COCO,DEIS3,AYS,NONE,4.4330082910507915,203.367870901876,,20.08262825012207,38.59296417236328,33.7705192565918,17
9,COCO,DDIMHF,DDIM,NONE,1.885258085206151,83.804407951807,,33.24477767944336,28.952545166015625,32.56856155395508,7
10,COCO,DEIS3,LINEAR,NONE,2.721467233481817,119.67344703359,,20.004619598388672,37.87869644165039,33.699012756347656,10
11,COCO,DDIMHF,DDIM,NONE,4.481669293567538,203.367868934717,,21.263294219970703,36.84490203857422,33.4218864440918,17
12,COCO,DEIS3,AYS,NONE,1.8854360625520348,83.804408345291,,19.74053955078125,36.66815948486328,33.15779113769531,7
13,COCO,DEIS3,KARRAS,NONE,4.383262298479676,203.367870901876,,20.911453247070312,38.77254867553711,33.740238189697266,17
14,COCO,DEIS3,AYS,NONE,2.651167004406452,119.67344703359,,19.024757385253906,38.49678039550781,33.5661735534668,10
15,COCO,DDIMHF,DDIM,NONE,2.6625375417619943,119.67344624668,,24.308265686035156,33.763099670410156,33.189247131347656,10
16,COCO,DEIS3,KARRAS,NONE,1.8355380056519062,83.804408345291,,25.524110794067383,33.01871871948242,33.136043548583984,7
17,COCO,DEIS3,KARRAS,NONE,2.639368543922901,119.67344703359,,20.146987915039062,38.20235061645508,33.59814453125,10
18,COCO,DEIS3,SNR,NONE,1.858597187041305,83.804408345291,,24.284433364868164,34.177391052246094,32.905582427978516,7
19,COCO,DEIS3,SNR,NONE,2.6545893887430427,119.67344703359,,20.1313533782959,37.52659606933594,33.45359802246094,10
20,COCO,DEIS3,LINEAR,NONE,1.8815479449182748,83.804408345291,,20.48487091064453,37.06201934814453,33.603939056396484,7
